4,20035,Hayot Bank,Hayot bank,Hayot Bank,hayotbank.png,true,2025-10-16 04:53:22.237187 +00:00,2025-10-16 04:53:22.237210 +00:00
16,20023,Uzagroexportbank,AVO Банк,Uzagroexportbank,avo.png,true,2025-10-16 04:53:22.361282 +00:00,2025-10-16 04:53:22.361299 +00:00
30,20009,Xalq Bank,Xalq bank,Xalq Bank,xalqbanki.png,true,2025-10-16 04:53:22.507272 +00:00,2025-10-16 04:53:22.507294 +00:00
26,20013,Mikrokreditbank,Микрокредитбанк,Mikrokreditbank,mkbank.png,true,2025-10-16 04:53:22.466661 +00:00,2025-10-16 04:53:22.466677 +00:00
36,20002,Agrobank,Агробанк,Agrobank,agrobank.png,true,2025-10-16 04:53:22.590874 +00:00,2025-10-16 04:53:22.590898 +00:00
15,20024,Ziraat Bank,Ziraat Bank,Ziraat Bank,ziraatbank.png,true,2025-10-16 04:53:22.350033 +00:00,2025-10-16 04:53:22.350054 +00:00
35,20003,Turon Bank,Турон банк,Turon Bank,turonbank.png,true,2025-10-16 04:53:22.579339 +00:00,2025-10-16 04:53:22.579374 +00:00
25,20014,Asia Alliance Bank,Asia Alliance Bank,Asia Alliance Bank,asiaalliancebank.png,true,2025-10-16 04:53:22.457731 +00:00,2025-10-16 04:53:22.457748 +00:00
34,20004,Ipoteka Bank,Ипотека банк,Ipoteka Bank,ipotekabank.png,true,2025-10-16 04:53:22.567221 +00:00,2025-10-16 04:53:22.567247 +00:00
3,20036,Apex Bank,Apex bank,Apex Bank,apexbank.png,true,2025-10-16 04:53:22.219811 +00:00,2025-10-16 04:53:22.219829 +00:00
33,20006,Infin Bank,Инфинбанк,Infin Bank,infinbank.png,true,2025-10-16 04:53:22.541762 +00:00,2025-10-16 04:53:22.541793 +00:00
24,20015,Orient Finance Bank,Ориент Финанс Банк,Orient Finance Bank,ofb.png,true,2025-10-16 04:53:22.447386 +00:00,2025-10-16 04:53:22.447401 +00:00
32,20007,NBU Bank,NBU,NBU Bank,nbu.png,true,2025-10-16 04:53:22.530195 +00:00,2025-10-16 04:53:22.530216 +00:00
14,20025,Universal Bank,Универсал Банк,Universal Bank,universalbank.png,true,2025-10-16 04:53:22.340248 +00:00,2025-10-16 04:53:22.340269 +00:00
2,20037,Yangi Bank,Yangi bank,Yangi Bank,"",true,2025-10-16 04:53:22.206105 +00:00,2025-10-16 04:53:22.206129 +00:00
1,20005,Asaka Bank,Асакабанк,Asaka Bank,asakabank.png,true,2025-09-25 05:31:40.753254 +00:00,2025-09-25 05:31:40.753282 +00:00
31,20008,Hamkorbank,Hamkorbank,Hamkorbank,hamkorbank.png,true,2025-10-16 04:53:22.519528 +00:00,2025-10-16 04:53:22.519547 +00:00
23,20016,Poytaxt Bank,Poytaxt bank,Poytaxt Bank,poytaxtbank.png,true,2025-10-16 04:53:22.437445 +00:00,2025-10-16 04:53:22.437461 +00:00
29,20010,UzPSB Bank,Узпромстройбанк,UzPSB Bank,sqb.png,true,2025-10-16 04:53:22.497704 +00:00,2025-10-16 04:53:22.497719 +00:00
21,20018,Davr Bank,Давр Банк,Davr Bank,davrbank.png,true,2025-10-16 04:53:22.416933 +00:00,2025-10-16 04:53:22.416968 +00:00
37,20001,Ipak Yuli Bank,Йпак Йули Банк,Ipak Yuli Bank,ipakyolibank.png,true,2025-10-16 04:53:22.602218 +00:00,2025-10-16 04:53:22.602238 +00:00
38,00014,Budget,Budget,Budget,default.png,true,2025-11-28 13:21:57.078347 +00:00,2025-11-28 13:21:57.078390 +00:00
13,20026,Anor Bank,Anorbank,Anor Bank,anorbank.png,true,2025-10-16 04:53:22.330120 +00:00,2025-10-16 04:53:22.330134 +00:00
28,20011,Trustbank,Трастбанк,Trustbank,trastbank.png,true,2025-10-16 04:53:22.487183 +00:00,2025-10-16 04:53:22.487204 +00:00
27,20012,Aloqa Bank,Алокабанк,Aloqa Bank,aloqabank.png,true,2025-10-16 04:53:22.477649 +00:00,2025-10-16 04:53:22.477663 +00:00
12,20027,Turkiston Bank,Turkiston Bank,Turkiston Bank,turkistonbank.png,true,2025-10-16 04:53:22.319912 +00:00,2025-10-16 04:53:22.319926 +00:00
20,20019,Qishloq Qurilish Bank,Кишлок курилиш банк,Qishloq Qurilish Bank,brb.png,true,2025-10-16 04:53:22.405159 +00:00,2025-10-16 04:53:22.405172 +00:00
11,20028,Madad Invest Bank,Мадад Инвест Банк,Madad Invest Bank,"",true,2025-10-16 04:53:22.309082 +00:00,2025-10-16 04:53:22.309096 +00:00
19,20020,TBC Bank,TBC Bank,TBC Bank,tbc.png,true,2025-10-16 04:53:22.396281 +00:00,2025-10-16 04:53:22.396298 +00:00
18,20021,Kapital Bank,Капиталбанк,Kapital Bank,kapitalbank.png,true,2025-10-16 04:53:22.385189 +00:00,2025-10-16 04:53:22.385205 +00:00
10,20029,Savdogar Bank,Garant bank,Savdogar Bank,garantbank.png,true,2025-10-16 04:53:22.299567 +00:00,2025-10-16 04:53:22.299588 +00:00
17,20022,Ravnaq Bank,Octobank,Ravnaq Bank,octobank.png,true,2025-10-16 04:53:22.370966 +00:00,2025-10-16 04:53:22.370980 +00:00
9,20030,KDB Bank Uzbekistan,KDB Bank Uzbekistan,KDB Bank Uzbekistan,kdbbank.png,true,2025-10-16 04:53:22.289787 +00:00,2025-10-16 04:53:22.289801 +00:00
8,20031,Saderat Bank,Садерат Банк,Saderat Bank,saderat_bank.png,true,2025-10-16 04:53:22.277985 +00:00,2025-10-16 04:53:22.277997 +00:00
7,20032,Hi-Tech Bank,Hi-Tech Bank,Hi-Tech Bank,"",true,2025-10-16 04:53:22.268717 +00:00,2025-10-16 04:53:22.268730 +00:00
6,20033,Uzum Bank,Uzum bank,Uzum Bank,uzumbank.png,true,2025-10-16 04:53:22.257759 +00:00,2025-10-16 04:53:22.257777 +00:00
22,20017,Tenge Bank,Tenge Bank,Tenge Bank,bank_logos/tengebank.webp,true,2025-10-16 04:53:22.427784 +00:00,2025-10-16 04:53:22.427804 +00:00
5,20034,Smartbank,Смартбанк,Smartbank,smartbank.png,true,2025-10-16 04:53:22.247762 +00:00,2025-10-16 04:53:22.247779 +00:00
