501,00004,"","BUXORO SH., MARKAZIY BANKNING BUXORO VILOYAT XISOB-KITOB MARKAZI",БУХАРА НД. БУХАРСКИЙ РЕГИОНАЛЬНЫЙ ЦЕНТР ЦЕНТРАЛЬНОГО БАНКА,BUKHARA ND. BUKHARA REGIONAL CENTER FOR THE CENTRAL BANK,true,2025-10-23 05:59:06.526893 +00:00,2025-10-23 05:59:06.526913 +00:00,
502,00005,"","JIZZAX SH., MARKAZIY BANKNING JIZZAX VILOYAT XISOB-KITOB MARKAZI","ДЖИЗАК, ДЖИЗАКСКИЙ РЕГИОНАЛЬНЫЙ УЧЕТНЫЙ ЦЕНТР","JIZZAKH, JIZZAKH REGIONAL ACCOUNTING CENTER",true,2025-10-23 05:59:06.567705 +00:00,2025-10-23 05:59:06.567742 +00:00,
503,00006,"","KARSHI SH., MARKAZIY BANKNING KASHKADARYO VILOYAT XISOB-KITOB MARKAZI",КАРШИ Ш. ЦЕНТР УЧЕТА НАЛИЧНЫХ ДЕНЕГ ЦЕНТРАЛЬНОГО БАНКА,KARSHI SH. CASH COUNTING CENTER OF THE CENTRAL BANK,true,2025-10-23 05:59:06.587592 +00:00,2025-10-23 05:59:06.587617 +00:00,
504,00007,"","NAVOIY SH., MARKAZIY BANKNING NAVOIY VILOYAT XISOB-KITOB MARKAZI",НАВОИ НАВОИ НАВОИЙСКИЙ РЕГИОНАЛЬНЫЙ БУХГАЛТЕРСКИЙ ЦЕНТР,NAVOI NAVOI NAVOI REGIONAL ACCOUNTING CENTER,true,2025-10-23 05:59:06.607403 +00:00,2025-10-23 05:59:06.607425 +00:00,
505,00008,"","NAMANGAN SH., MARKAZIY BANKNING NAMANGAN VILOYAT XISOB-KITOB MARKAZI","НАМАНГАН Ш., НАМАНГАНСКИЙ ОБЛАСТНОЙ СЧЕТНЫЙ ЦЕНТР ЦЕНТРАЛЬНОГО БАНКА","NAMANGAN SH., NAMANGAN REGIONAL COUNTING CENTER OF THE CENTRAL BANK",true,2025-10-23 05:59:06.630074 +00:00,2025-10-23 05:59:06.630102 +00:00,
506,00009,"","SAMARKAND SH., MARKAZIY BANKNING SAMARKAND VILOYAT XISOB-KITOB MARKAZI","САМАРКАНД Ш., ЦЕНТРАЛЬНЫЙ БАНК САМАРКАНДСКИЙ РЕГИОНАЛЬНЫЙ РАСЧЕТНЫЙ ЦЕНТР","SAMARKAND SH., CENTRAL BANK SAMARKAND REGIONAL ACCOUNTING CENTER",true,2025-10-23 05:59:06.659265 +00:00,2025-10-23 05:59:06.659297 +00:00,
507,00010,"","GULISTON SH., MARKAZIY BANKNING SIRDARYO VILOYAT XISOB-KITOB MARKAZI","ГУЛИСТАН, СЫРДАРЬИНСКИЙ ЦЕНТР РЕГУЛИРОВАНИЯ ЦЕНТРАЛЬНОГО БАНКА","GULISTAN, THE CENTRAL BANK'S SYRDARYA REGULATION CENTER",true,2025-10-23 05:59:06.688718 +00:00,2025-10-23 05:59:06.688736 +00:00,
508,00011,"","TЕRMIZ SH., MARKAZIY BANKNING SURXANDARYO VILOYAT XISOB-KITOB MARKAZI","ТЕРМЕЗ Ш., СУРХАНДАРЬИНСКИЙ ОБЛАСТНОЙ СЧЕТНЫЙ ЦЕНТР ЦЕНТРАЛЬНОГО БАНКА","TERMEZ SH., SURKHANDARYA REGIONAL COUNTING CENTER OF THE CENTRAL BANK",true,2025-10-23 05:59:06.710967 +00:00,2025-10-23 05:59:06.710995 +00:00,
509,00012,"","FARGONA SH., MARKAZIY BANKNING FARGONA VILOYAT XISOB-KITOB MARKAZI","ФЕРГАНА Ш., ФЕРГАНСКИЙ РЕГИОНАЛЬНЫЙ УЧЕТНЫЙ ЦЕНТР ЦЕНТРАЛЬНОГО БАНКА","FERGANA SH., FERGANA REGIONAL ACCOUNTING CENTER FOR CENTRAL BANK",true,2025-10-23 05:59:06.730917 +00:00,2025-10-23 05:59:06.730935 +00:00,
510,00013,"","URGANCH SH., MARKAZIY BANKNING XORAZM VILOYAT XISOB-KITOB MARKAZI","УРГЕНЧ Ш., ХОРЕЗМСКИЙ РЕГИОНАЛЬНЫЙ РАСЧЕТНЫЙ ЦЕНТР ЦЕНТРАЛЬНОГО БАНКА","URGENCH SH., THE CENTRAL BANK KHOREZM REGIONAL ACCOUNTING CENTER",true,2025-10-23 05:59:06.759034 +00:00,2025-10-23 05:59:06.759062 +00:00,
